"Source:","/home/nathann/OneDrive/Documents/Projet/electronic/PlantSensor/PlantSensor/PlantSensor.kicad_sch"
"Date:","lun 13 jun 2022 01:12:29"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","51"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN","SKU"
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","",""
"","","C1","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C2","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C4","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C5","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C6","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C8","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C9","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C10","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C11","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C12","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C13","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","C14","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","",""
"","","J1","SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:H2-5.0-10.5X8.0MM","","","320110031"
"","","J2","SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:SCREW-TERMINAL-GREEN_2P-5.0_","OPL_Connector:H2-5.0-10.5X8.0MM","","","320110031"
